policy,m,k,mode,lead_ms,control,metric,paired_events,independent_blocks,mean_delta,ci_low,ci_high,estimand
online,20,10,async,750.0,cosine,application_with_policy_ms,600,6,8.113148753333338,-2.1319750762916496,18.35320497,equal-block mean; descriptive if blocks share source records
online,20,10,async,750.0,cosine,cycle_including_drain_ms,600,6,5.804072001666662,-4.2788413550000115,15.842202701375003,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,no_prefetch,arrival_to_first_token_ms,600,6,21.866717378333334,18.073343016666666,26.019173516666665,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,no_prefetch,target_service_ttft_ms,600,6,21.861592785,17.965747713333332,25.981828414375,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,no_prefetch,application_to_first_token_ms,600,6,75.606536025,68.29815166666666,83.47427132166665,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,no_prefetch,application_with_policy_ms,600,6,75.96116255000001,68.87686634666666,84.33536769333331,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,no_prefetch,cycle_including_drain_ms,600,6,75.75876003500001,68.68723209000001,83.86229147333334,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,cosine,arrival_to_first_token_ms,600,6,2.815843838333333,-0.9672217400000008,6.222163503333333,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,cosine,target_service_ttft_ms,600,6,2.819796344999999,-1.2813101346250007,6.299346916666667,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,cosine,application_to_first_token_ms,600,6,15.383795081666667,10.211118504999996,20.539065055000005,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,cosine,application_with_policy_ms,600,6,14.63302643,9.375237631749997,19.93146390333333,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,750.0,cosine,cycle_including_drain_ms,600,6,15.192719878333333,10.076808743333332,20.148243831666665,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,no_prefetch,arrival_to_first_token_ms,600,6,18.28898958166667,15.124385085,20.80985497483333,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,no_prefetch,target_service_ttft_ms,600,6,18.284206421666667,15.197886658333337,20.938560749999997,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,no_prefetch,application_to_first_token_ms,600,6,71.34746202833333,66.17186025166667,75.80055927737499,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,no_prefetch,application_with_policy_ms,600,6,71.69825283833333,66.899093465,76.38012049666666,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,no_prefetch,cycle_including_drain_ms,600,6,71.49243199666667,66.78051501,76.18071840833333,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,cosine,arrival_to_first_token_ms,600,6,-0.7618839583333329,-4.062715679999999,2.8994071800000003,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,cosine,target_service_ttft_ms,600,6,-0.7575900183333332,-4.3182408133333325,2.9520579961249953,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,cosine,application_to_first_token_ms,600,6,11.124721085000006,7.525649321666672,14.889808304749998,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,cosine,application_with_policy_ms,600,6,10.370116718333337,6.602450346666676,14.238716545000008,equal-block mean; descriptive if blocks share source records
structure,20,10,async,750.0,cosine,cycle_including_drain_ms,600,6,10.926391839999996,6.808880778333326,15.110684848333333,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,no_prefetch,arrival_to_first_token_ms,600,6,19.836643973333334,17.232807223333335,22.37904765,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,no_prefetch,target_service_ttft_ms,600,6,19.82910300166667,17.33362292,22.27004996166667,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,no_prefetch,application_to_first_token_ms,600,6,73.27253855833334,65.91885844225,80.356972505,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,no_prefetch,application_with_policy_ms,600,6,76.625621115,69.06615083833333,83.68804304,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,no_prefetch,cycle_including_drain_ms,600,6,73.428562415,65.657247215,80.494609995,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,cosine,arrival_to_first_token_ms,600,6,0.7857704333333334,-1.1118356716666664,2.6590126633333337,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,cosine,target_service_ttft_ms,600,6,0.7873065616666667,-1.1117020165833338,2.6017850399999998,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,cosine,application_to_first_token_ms,600,6,13.049797615000008,6.203328425083344,20.660178318875,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,cosine,application_with_policy_ms,600,6,15.297484995,8.767035453333337,22.792609645000002,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,750.0,cosine,cycle_including_drain_ms,600,6,12.862522258333334,6.264934196666669,20.64630188,equal-block mean; descriptive if blocks share source records
